sku,name,category,unit_price
SKU-1001,Eco Paper Towels,Cleaning,12.50
SKU-1002,Biodegradable Cups,Food Service,18.00
SKU-1003,Recycled Printer Paper,Office,9.25
SKU-1004,Compostable Cutlery,Food Service,22.10
SKU-1005,LED Desk Lamp,Office,45.00
SKU-1006,Smart Labeler,Logistics,129.99
SKU-1007,Barcode Stickers (1k),Logistics,34.75
SKU-1008,Heavy Duty Tape,Cleaning,15.90
SKU-1009,Shipping Crates,Logistics,210.00
SKU-1010,Modular Storage Bin,Warehouse,56.40
SKU-1011,Hand Sanitizer 1L,Cleaning,11.30
SKU-1012,Warehouse Gloves (10),Safety,27.60
